file_id,filename,file_size
1,Aha--moments-in-the-water-energy-food-nexus--A-new-_2019_Technological-Fore.txt,109924
2,If-they-don-t-tell-us-what-they-do-with-it--why-woul_2019_NJAS---Wageningen.txt,77103
3,4-0-in-metal-forming---questions-and-challenges_2019_Procedia-CIRP.txt,37691
4,A-Big-Data-Analytics-Framework-for-Supporting-Logistics_2019_Procedia-Comput.txt,28124
5,A-Business-Model-to-Implement-Closed-loop-Material-Flow-_2019_Procedia-Manuf.txt,35641
6,A-carpool-matching-model-with-both-social-_2019_Computers--Environment-and-U.txt,71770
7,A-Case-Study-for-Blockchain-in-Manufacturing---FabRec---A-P_2018_Procedia-Ma.txt,53943
8,A-Categorical-Framework-of-Manufacturing-for-Industry-4-0-a_2016_Procedia-CI.txt,36545
9,A-Classification-Prediction-Analysis-of-Flight-Cancel_2019_Procedia-Computer.txt,36851
10,A-cloud-agnostic-queuing-system-to-support-the-impleme_2019_Future-Generatio.txt,76849
11,A-Cloud-and-Ubiquitous-Architecture-for-Effective-Envir_2015_Procedia-Comput.txt,26127
12,A-cognitive-analytics-management-framework-for-the-trans_2019_European-Journ.txt,129592
13,A-collaboration-platform-for-enabling-industrial-symbiosis--Toward_2019_Proc.txt,39369
14,A-Collaborative-Manufacturing-Approach-supporting-adoption_2018_Procedia-Man.txt,57498
15,A-Comparison-of-Credit-Rating-Classification-Models-Base_2019_Procedia-Compu.txt,35257
16,A-compilation-of-UAV-applications-for-precision-agricul_2020_Computer-Networ.txt,138767
17,A-Conceptual-Framework-for--Industry-3-5--to-Empower-Inte_2017_Procedia-Manu.txt,31356
18,A-Conceptual-Framework-for-Cyber-physical-System-in-Conne_2019_Procedia-Manu.txt,29420
19,A-Conceptual-Framework-for-Designing-Informatics-based-Service_2015_Procedia.txt,34742
20,A-Conceptual-Framework-to-Assess-the-Impact-of-Training-on-Equi_2015_Procedi.txt,34053
21,A-conceptual-model-for-a-cyber-social-technological-co_2019_Procedia-Compute.txt,28489
22,A-Conceptual-Model-for-Developing-a-Smart-Process-Control-S_2018_Procedia-CI.txt,29506
23,A-Conceptual-Model-of-Smart-Manufacturing-Execution-Sys_2019_Procedia-Comput.txt,22812
24,A-critique-of-reliability-prediction-techniques-fo_2018_Chinese-Journal-of-A.txt,64962
25,A-cropping-system-assessment-framework-Evaluating-effec_2016_European-Journa.txt,68446
26,A-Cyber-physical-System-Architecture-in-Shop-Floor-for-Intell_2016_Procedia-.txt,29435
27,A-data-driven-approach-for-discovering-heat-load-patterns-in_2019_Applied-En.txt,63159
28,A-Decision-Making-Framework-for-the-Implementation-of-Remanuf_2018_Procedia-.txt,55008
29,A-decision-support-system-for-vessel-speed-decision-in_2018_Computers---Oper.txt,64517
30,A-distributed-simulation-methodological-framew_2017_Simulation-Modelling-Pra.txt,95412
31,A-DMAIC-Project-to-Improve-Warranty-Billing-s-Operations_2015_Procedia-Compu.txt,36633
32,A-DMS-to-Support-Industrial-Process-Decision-Making--a-c_2019_Procedia-Manuf.txt,34535
33,A-Dynamic-Data-driven-Approach-for-Operation-Planni_2015_Procedia-Computer-S.txt,34394
34,A-Dynamic-Data-driven-Decision-Support-for-Aquacult_2014_Procedia-Computer-S.txt,23417
35,A-formal--scalable-approach-to-semantic-intero_2020_Science-of-Computer-Prog.txt,85115
36,A-Framework-for-Quantifying-Energy-and-Productivity-Benefits-o_2019_Procedia.txt,44371
37,A-Framework-of-a-Smart-Injection-Molding-System-Based-_2017_Procedia-Manufac.txt,27062
38,A-free-floating-bike-repositioning-problem-with-fa_2019_Procedia-Computer-Sc.txt,27240
39,A-fundamental-approach-for-data-acquisition-on-machine-tools-as_2019_Procedi.txt,41240
40,A-Generic-Decision-Support-Tool-to-Planning-and-Assignment-_2017_Procedia-Ma.txt,27981
41,A-Generic-Sankey-Tool-for-Evaluating-Energy-Value-Stream-in-M_2017_Procedia-.txt,29146
42,A-Grey-Box-Software-Framework-for-Sustainability-Assessment-of-C_2019_Proced.txt,39258
43,A-group-decision-making-tool-for-assessing-climate-policy-risks-a_2018_Heliy.txt,98594
44,A-joint-model-of-mode-and-shipment-size-choice-_2017_International-Journal-o.txt,56414
45,A-knowledge-based-approach-to-the-IoT-driven-data-integ_2019_Procedia-Manufa.txt,31883
46,A-MaaS-platform-architecture-supporting-data-sovereignty-in_2019_Procedia-Ma.txt,35353
47,A-machine-learning-based-energy-efficient-trajectory-planning-_2019_Procedia.txt,37779
48,A-Machine-Learning-Framework-for-Predicting-Purchase-by-_2014_Procedia-Compu.txt,27987
49,A-Maturity-Assessment-Procedure-Model-for-Realizing-Knowledg_2019_Procedia-M.txt,47520
50,A-Method-for-Extracting-Section-Information-of-Highway_2018_Procedia-Compute.txt,11688
51,A-method-to-design-Smart-Services-based-on-information-categor_2019_Procedia.txt,41182
52,A-Method-Towards-Smart-Manufacturing-Capabilities-and-P_2019_Procedia-Manufa.txt,31515
53,A-Methodology-Concept-for-Territorial-Metabolism---Life-Cycle-Ass_2018_Proce.txt,21599
54,A-microservice-based-framework-for-integrating-IoT-management-pla_2019_ICT-E.txt,20461
55,A-model-driven-dynamic-synchronization-mechanism-of-lifecycle-bu_2019_Proced.txt,29480
56,A-modeling-framework-to-accelerate-food-borne-outbreak-inves_2016_Food-Contr.txt,35469
57,A-Multi-Attribute-Value-Theory-approach-to-rank-associatio_2017_Procedia-Com.txt,36485
58,A-Multi-level-Traceability-System-Based-on-Grap_2016_Procedia-Computer-Scien.txt,19852
